#---------------- --------     ------
#BJD - 2450000(d)  Flux        e_flux
#---------------- --------     ------
 7196.61519702   0.99891742  0.00013689 
 7196.63562882   0.99886054  0.00013689 
 7196.65606043   0.99902996  0.00013689 
 7196.67649214   0.99891324  0.00013689 
 7196.69692395   0.99891446  0.00013689 
 7196.71735556   0.99900114  0.00013689 
 7196.73778727   0.99902585  0.00013689 
 7196.75821908   0.99938103  0.00013689 
 7196.77865079   1.00005376  0.00013689 
 7196.79908250   0.99988345  0.00013689 
 7196.81951421   0.99993988  0.00013689 
 7196.83994592   1.00012998  0.00013689 
 7196.86037763   1.00011341  0.00013689 
 7196.88080934   0.99995228  0.00013689 
 7196.90124105   1.00002362  0.00013689 
 7206.54503346   1.00013109  0.00013689 
 7206.56546528   0.99994129  0.00013689 
 7206.58589699   1.00000949  0.00013689 
 7206.60632890   0.99989767  0.00013689 
 7206.62676071   1.00005839  0.00013689 
 7206.64719263   0.99993633  0.00013689 
 7206.66762434   1.00001728  0.00013689 
 7206.68805615   1.00004437  0.00013689 
 7206.70848807   0.99921328  0.00013689 
 7206.72891978   0.99927170  0.00013689 
 7206.74935160   0.99890950  0.00013689 
 7206.76978351   0.99905189  0.00013689 
 7206.79021532   0.99901243  0.00013689 
 7206.81064704   0.99872664  0.00013689 
 7206.83107896   0.99884512  0.00013689 
 7206.85151077   0.99898213  0.00013689 
 7206.87194259   0.99907263  0.00013689 
 7206.89237440   0.99913627  0.00013689 
 7206.91280622   1.00004016  0.00013689 
 7206.93323814   1.00004580  0.00013689 
 7206.95366985   1.00000555  0.00013689 
 7206.99453359   0.99995502  0.00013689 
 7207.01496531   0.99989416  0.00013689 
 7207.03539722   1.00002781  0.00013689 
 7207.05582894   0.99997996  0.00013689 
 7207.07626076   1.00010016  0.00013689 
